algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,11182,14184340.0,138551,2500,2500,14184340.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136051,136051,,11183,321,136650,11183,11183,17875,2500,,13682,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,11182,14184340.0,202914,1041,2500,14184340.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74753,0,,11183,321,464585,11183,11183,17875,2500,,13682,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,235294.0,268528,0,4714,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,235294.0,0,962,0,,,,4714,15896,,164192,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,235294.0,55881,4573,4714,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,51167,51167,235294.0,11183,962,52350,,,,4714,15896,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",6,0,235294.0,121910,3489,4714,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,26593,0,235294.0,11183,962,246582,,,,4714,15896,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,0,11515055.0,171820,0,2523,11515055.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,378,0,11183,11183,17875,2523,,13705,78718,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,0,11515055.0,140046,2522,2523,11515055.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,137523,137523,,11183,378,138237,11183,11183,17875,2523,,13705,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,0,11515055.0,203709,1029,2523,11515055.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73084,0,,11183,378,464432,11183,11183,17875,2523,,13705,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,5591,11866329.0,170183,0,2467,11866329.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,287,0,11183,11183,17875,2467,,13649,78033,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,5591,11866329.0,138599,2467,2467,11866329.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,136132,136132,,11183,287,136724,11183,11183,17875,2467,,13649,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,5591,11866329.0,202652,1007,2467,11866329.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,72963,0,,11183,287,462574,11183,11183,17875,2467,,13649,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,11182,13465656.0,169589,0,2548,13465656.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,337,0,11183,11183,17875,2548,,13730,77694,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,11182,13465656.0,137978,2547,2548,13465656.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135430,135430,,11183,337,136222,11183,11183,17875,2548,,13730,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",7,11182,13465656.0,201531,1030,2548,13465656.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,73052,0,,11183,337,459846,11183,11183,17875,2548,,13730,0,
