graph_source,graph_family,graph_size,graph_num_edges,graph_average_degree,graph_maximum_degree,graph_parameters,seed,algorithm,heap_type,start_vertex,output_value,runtime_ms,mean_runtime_ms,median_runtime_ms,min_runtime_ms,max_runtime_ms,repeats,runtime_measurement,rss_measurement,max_rss_kbytes,median_max_rss_kbytes,reachable_vertex_count,visited_vertex_count,edge_scan_count,relax_attempt_count,successful_relax_count,successful_key_update_count,priority_queue_memory_bytes
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,fibonacci,50,2651,0.126863,0.138244,0.126863,0.119366,0.168504,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,243,,6912
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,binary,99,2434,0.076738,0.0897017,0.076738,0.058773,0.133594,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,239,,2448
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,pairing,99,2434,0.111131,0.119625,0.111131,0.092947,0.154798,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,239,,5600
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,dijkstra,fibonacci,99,2434,0.122636,0.133799,0.122636,0.104769,0.173991,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,1960,980,239,,6912
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,prim,binary,0,648,0.084291,0.0956047,0.084291,0.063228,0.139295,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,1960,,,315,2448
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,prim,pairing,0,648,0.105843,0.115281,0.105843,0.089082,0.150918,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,1960,,,315,5600
synthetic,dense_er_np,100,980,19.6,34,"n=100,p=0.18",0,prim,fibonacci,0,648,0.126065,0.138861,0.126065,0.116297,0.174222,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,1960,,,315,6912
synthetic,superdense_er_np,25,194,15.52,20,"n=25,p=0.65",0,dijkstra,binary,0,505,0.015953,0.0223253,0.015953,0.009005,0.042018,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,388,194,58,,612
synthetic,superdense_er_np,25,194,15.52,20,"n=25,p=0.65",0,dijkstra,pairing,0,505,0.021179,0.0281747,0.021179,0.0132,0.050145,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,388,194,58,,1400
synthetic,superdense_er_np,25,194,15.52,20,"n=25,p=0.65",0,dijkstra,fibonacci,0,505,0.021474,0.02988,0.021474,0.016389,0.051777,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,388,194,58,,2112
synthetic,superdense_er_np,25,194,15.52,20,"n=25,p=0.65",0,dijkstra,binary,12,539,0.016099,0.0213403,0.016099,0.008965,0.038957,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,388,194,60,,612
synthetic,superdense_er_np,25,194,15.52,20,"n=25,p=0.65",0,dijkstra,pairing,12,539,0.022287,0.0279537,0.022287,0.014279,0.047295,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,388,194,60,,1400
